item,itemLabel,alias
http://www.wikidata.org/entity/Q7562997,"Archduchess Sophie, Princess of Windisch-Graetz",Sofia de Habsburg
http://www.wikidata.org/entity/Q7562997,"Archduchess Sophie, Princess of Windisch-Graetz",Sophie Franziska Maria Germaine Erzherzogin von Österreich
http://www.wikidata.org/entity/Q7562997,"Archduchess Sophie, Princess of Windisch-Graetz",Sophie Franziska Maria Germaine Habsburg
http://www.wikidata.org/entity/Q7562997,"Archduchess Sophie, Princess of Windisch-Graetz","Sophie Franziska Maria Germaine of Habsburg-Lorraine, Archduchess of Austria"
http://www.wikidata.org/entity/Q7562997,"Archduchess Sophie, Princess of Windisch-Graetz",Sophie Franziska of Austria
http://www.wikidata.org/entity/Q7608111,"Stephan, Hereditary Prince of Lippe",Stephan Leopold Justus Richard Prinz zur Lippe
http://www.wikidata.org/entity/Q7807119,Timothy Colman,Sir Timothy James Alan Colman
http://www.wikidata.org/entity/Q7807119,Timothy Colman,Σερ Τιμόθι Κόλμαν
http://www.wikidata.org/entity/Q7807119,Timothy Colman,Τιμόθι Τζέιμς Άλαν Κόλμαν
http://www.wikidata.org/entity/Q7902792,Prince Henry of Prussia,Prince Heinrich of Prussia
http://www.wikidata.org/entity/Q7902792,Prince Henry of Prussia,Heinrich Viktor Ludwig Friedrich Prinz von Preußen
http://www.wikidata.org/entity/Q7902792,Prince Henry of Prussia,Prince Henry Victor Louis Frederick of Prussia
