item,itemLabel,alias
http://www.wikidata.org/entity/Q75317760,Jaime de Borbón-Dos Sicilias y Landaluce y Melgarejo,Jaime di Borbone-Due Sicilie
http://www.wikidata.org/entity/Q75323778,"Duchess Marie, Hereditary Duchess of Württemberg",Marie von Württemberg
http://www.wikidata.org/entity/Q75323778,"Duchess Marie, Hereditary Duchess of Württemberg",Wilhelmine Marie von Wied
http://www.wikidata.org/entity/Q75328030,Angelica Hicks,Angelica Margherita Edwina Hicks
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Allegra Marina Tondato
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Allegra Mottola di Amato
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Allegra Tondato
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Marina Allegra Federica Silvia Hicks
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Marina Allegra Federica Silvia Mottola di Amato
http://www.wikidata.org/entity/Q75328043,Allegra Hicks,Marina Allegra Federica Silvia Tondato
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Elizabeth Shakerley
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Elizabeth Anson
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Elizabeth Georgiana Anson
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Elizabeth Georgiana Shakerley
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Lady Elizabeth Georgiana Anson
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Lady Elizabeth Georgiana Shakerley
http://www.wikidata.org/entity/Q75332807,Lady Elizabeth Shakerley,Lady Elizabeth Anson
http://www.wikidata.org/entity/Q75374290,Traute Becker,"Dr. Traute, Princess of Lippe"
http://www.wikidata.org/entity/Q75374290,Traute Becker,Traute Prinzessin zur Lippe
http://www.wikidata.org/entity/Q75374290,Traute Becker,"Traute, Princess of Lippe"
http://www.wikidata.org/entity/Q75381423,Fenella Hepburn-Stuart-Forbes-Trefusis,Fenella Bowes-Lyon
http://www.wikidata.org/entity/Q75381423,Fenella Hepburn-Stuart-Forbes-Trefusis,Hon. Fenella Bowes-Lyon
http://www.wikidata.org/entity/Q75381423,Fenella Hepburn-Stuart-Forbes-Trefusis,Hon. Fenella Hepburn-Stuart-Forbes-Trefusis
http://www.wikidata.org/entity/Q75381594,Prince Andreas of Prussia,Andreas Prinz von Preußen
http://www.wikidata.org/entity/Q75381594,Prince Andreas of Prussia,Prince William Andreas of Prussia
http://www.wikidata.org/entity/Q75381594,Prince Andreas of Prussia,Prince William Andrew of Prussia
http://www.wikidata.org/entity/Q75381594,Prince Andreas of Prussia,William Andrew Prinz von Preußen
http://www.wikidata.org/entity/Q75381841,Margaret Messenger,"Margaret Lascelles, Viscountess Lascelles"
http://www.wikidata.org/entity/Q75381841,Margaret Messenger,"Margaret Rosalind Lascelles, Viscountess Lascelles"
http://www.wikidata.org/entity/Q75381841,Margaret Messenger,Margaret Rosalind Messenger
http://www.wikidata.org/entity/Q75381841,Margaret Messenger,"Margaret Rosalind, Viscountess Lascelles"
http://www.wikidata.org/entity/Q75381841,Margaret Messenger,"Margaret, Viscountess Lascelles"
http://www.wikidata.org/entity/Q75383406,Lady Mary Wellesley,Lady Mary Louise Wellesley
http://www.wikidata.org/entity/Q75383406,Lady Mary Wellesley,Lady Mary Luise Wellesley
http://www.wikidata.org/entity/Q75383406,Lady Mary Wellesley,Mary Louise Wellesley
http://www.wikidata.org/entity/Q75383406,Lady Mary Wellesley,Mary Luise Wellesley
http://www.wikidata.org/entity/Q75383406,Lady Mary Wellesley,Mary Wellesley
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Charlotte Wellesley
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Charlotte Anne Santo Domingo
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Charlotte Anne Wellesley
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Charlotte Santo Domingo
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Lady Charlotte Anne Santo Domingo
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Lady Charlotte Anne Wellesley
http://www.wikidata.org/entity/Q75383463,Lady Charlotte Wellesley,Lady Charlotte Santo Domingo
http://www.wikidata.org/entity/Q75383564,Princess Charlotte of Croÿ,Charlotte Alexandra Marie Clotilde of Croÿ
http://www.wikidata.org/entity/Q75383564,Princess Charlotte of Croÿ,Charlotte Alexandra Marie Clotilde Prinzessin von Croÿ
http://www.wikidata.org/entity/Q75383564,Princess Charlotte of Croÿ,Charlotte of Croÿ
http://www.wikidata.org/entity/Q75383564,Princess Charlotte of Croÿ,Charlotte Prinzessin von Croÿ
