person,personLabel,article
http://www.wikidata.org/entity/Q1031989,Louisa Burnaby,https://en.wikipedia.org/wiki/Louisa_Cavendish-Bentinck
http://www.wikidata.org/entity/Q1102293,Anne Caroline Salisbury,https://en.wikipedia.org/wiki/Anne_Caroline_Salisbury
http://www.wikidata.org/entity/Q1805444,Princess Louise of Denmark,https://en.wikipedia.org/wiki/Princess_Louise_of_Denmark_(1750%E2%80%931831)
http://www.wikidata.org/entity/Q715230,Prince Georg Wilhelm of Hesse-Darmstadt,https://en.wikipedia.org/wiki/Prince_George_William_of_Hesse-Darmstadt
http://www.wikidata.org/entity/Q741870,"Claude Bowes-Lyon, 13th Earl of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/Claude_Bowes-Lyon,_13th_Earl_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q1090562,Princess Anna Sophie of Schwarzburg-Rudolstadt,https://en.wikipedia.org/wiki/Princess_Anna_Sophia_of_Schwarzburg-Rudolstadt
http://www.wikidata.org/entity/Q1876689,Princess Louise Caroline of Hesse-Kassel,https://en.wikipedia.org/wiki/Princess_Louise_Caroline_of_Hesse-Kassel
http://www.wikidata.org/entity/Q2291709,Countess Karoline Ernestine of Erbach-Schönberg,https://en.wikipedia.org/wiki/Countess_Karoline_Ernestine_of_Erbach-Sch%C3%B6nberg
http://www.wikidata.org/entity/Q2400397,"William Cavendish, 3rd Duke of Devonshire","https://en.wikipedia.org/wiki/William_Cavendish,_3rd_Duke_of_Devonshire"
http://www.wikidata.org/entity/Q2592020,"Frances Bowes-Lyon, Countess of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/Frances_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q2616024,Countess Charlotte of Dohna-Leistenau,https://en.wikipedia.org/wiki/Countess_Charlotte_of_Dohna-Leistenau
http://www.wikidata.org/entity/Q2756857,Caroline of Nassau-Usingen,https://en.wikipedia.org/wiki/Princess_Caroline_of_Nassau-Usingen
http://www.wikidata.org/entity/Q3616247,Andrew Burnaby,https://en.wikipedia.org/wiki/Andrew_Burnaby
http://www.wikidata.org/entity/Q3666720,"Charlotte Cavendish, Marchioness of Hartington","https://en.wikipedia.org/wiki/Charlotte_Cavendish,_Marchioness_of_Hartington"
http://www.wikidata.org/entity/Q3758414,"Garret Wesley, 1st Earl of Mornington","https://en.wikipedia.org/wiki/Garret_Wesley,_1st_Earl_of_Mornington"
http://www.wikidata.org/entity/Q3779909,Duchess Gustave Caroline of Mecklenburg-Strelitz,https://en.wikipedia.org/wiki/Duchess_Gustave_Caroline_of_Mecklenburg-Strelitz
http://www.wikidata.org/entity/Q3809433,"John Bowes, 9th Earl of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/John_Bowes,_9th_Earl_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q3822926,Countess Friederike of Schlieben,https://en.wikipedia.org/wiki/Countess_Friederike_von_Schlieben
http://www.wikidata.org/entity/Q3990679,"Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/Thomas_Lyon-Bowes,_11th_Earl_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q4241281,Christiane Emilie of Schwarzburg-Sondershausen,https://en.wikipedia.org/wiki/Christiane_Emilie_of_Schwarzburg-Sondershausen
http://www.wikidata.org/entity/Q4666619,Abel Smith,https://en.wikipedia.org/wiki/Abel_Smith_(1717%E2%80%931788)
http://www.wikidata.org/entity/Q4799071,"Arthur Hill-Trevor, 1st Viscount Dungannon","https://en.wikipedia.org/wiki/Arthur_Hill-Trevor,_1st_Viscount_Dungannon"
http://www.wikidata.org/entity/Q5176673,Count Karl Leopold von Schlieben,https://en.wikipedia.org/wiki/Count_Karl_Leopold_von_Schlieben
http://www.wikidata.org/entity/Q17308968,"Dorothy Bentinck, Duchess of Portland","https://en.wikipedia.org/wiki/Dorothy_Bentinck,_Duchess_of_Portland"
http://www.wikidata.org/entity/Q18642364,"Dorothy Boyle, Countess of Burlington and Countess of Cork","https://en.wikipedia.org/wiki/Dorothy_Boyle,_Countess_of_Burlington"
http://www.wikidata.org/entity/Q50822509,Hyacinthe-Gabrielle Roland,"https://en.wikipedia.org/wiki/Hyacinthe-Gabrielle_Wellesley,_Marchioness_Wellesley"
http://www.wikidata.org/entity/Q56778332,"Catherine Cavendish, Duchess of Devonshire","https://en.wikipedia.org/wiki/Catherine_Cavendish,_Duchess_of_Devonshire"
http://www.wikidata.org/entity/Q66349619,"Anne Wellesley, Countess of Mornington","https://en.wikipedia.org/wiki/Anne_Wellesley,_Countess_of_Mornington"
http://www.wikidata.org/entity/Q75273894,"Sir John Parker Mosley, 1st Bt.","https://en.wikipedia.org/wiki/Sir_John_Mosley,_1st_Baronet"
http://www.wikidata.org/entity/Q15833893,Maria Salomé Schweppenhäuser,https://en.wikipedia.org/wiki/Maria_Salomea_Schweppenh%C3%A4user
http://www.wikidata.org/entity/Q5343313,"Edward Harley, 2nd Earl of Oxford and Earl Mortimer","https://en.wikipedia.org/wiki/Edward_Harley,_2nd_Earl_of_Oxford_and_Earl_Mortimer"
http://www.wikidata.org/entity/Q5346963,Edwyn Burnaby,https://en.wikipedia.org/wiki/Edwyn_Burnaby_(courtier)
http://www.wikidata.org/entity/Q5537154,George Bowes,https://en.wikipedia.org/wiki/George_Bowes_(MP_for_County_Durham)
http://www.wikidata.org/entity/Q5544616,George Smith,https://en.wikipedia.org/wiki/George_Smith_(1765%E2%80%931836)
http://www.wikidata.org/entity/Q5715958,"Henrietta Harley, Countess of Oxford and Countess Mortimer","https://en.wikipedia.org/wiki/Henrietta_Harley,_Countess_of_Oxford_and_Countess_Mortimer"
http://www.wikidata.org/entity/Q5716005,Henrietta Mildred Hodgson,https://en.wikipedia.org/wiki/Henrietta_Mildred_Hodgson
http://www.wikidata.org/entity/Q6327385,Sophie Charlotte of Brandenburg-Bayreuth,https://en.wikipedia.org/wiki/Princess_Sophie_Charlotte_of_Brandenburg-Bayreuth
http://www.wikidata.org/entity/Q6335864,Christine Wilhelmine of Saxe-Eisenach,https://en.wikipedia.org/wiki/Princess_Christine_Wilhelmine_of_Saxe-Eisenach
http://www.wikidata.org/entity/Q6470028,Anne Wellesley,https://en.wikipedia.org/wiki/Lady_Charles_Bentinck
http://www.wikidata.org/entity/Q6779099,"Mary Bowes, Countess of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/Mary_Bowes,_Countess_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q7329897,"Richard Wesley, 1st Baron Mornington","https://en.wikipedia.org/wiki/Richard_Wesley,_1st_Baron_Mornington"
http://www.wikidata.org/entity/Q7345539,Robert Hodgson,https://en.wikipedia.org/wiki/Robert_Hodgson_(dean_of_Carlisle)
http://www.wikidata.org/entity/Q7620341,"Thomas Lyon, 8th Earl of Strathmore and Kinghorne","https://en.wikipedia.org/wiki/Thomas_Lyon,_8th_Earl_of_Strathmore_and_Kinghorne"
http://www.wikidata.org/entity/Q8861642,Friedrich Karl Emanuel Hauke,https://en.wikipedia.org/wiki/Fryderyk_Karol_Emanuel_Hauke
http://www.wikidata.org/entity/Q5177056,Countess Caroline Felizitas of Leiningen-Dagsburg,https://en.wikipedia.org/wiki/Countess_Karoline_Felizitas_of_Leiningen-Dagsburg-Falkenburg
